,epsilon,n_clusters_db,n_noise_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
0,2.0,134.0,13840.0,0.006083902864603818,0.3270571059065608,1.6412885189056396,67.0,18431.0,0.0008005555828687582,0.11177521950273345,70.01975774765015,20.0,19620.0,9.078730813807952e-05,0.028580340420688456,38.249831438064575
1,2.5,113.0,8952.0,0.03099847560287275,0.39093182019771805,2.247565984725952,79.0,16625.0,0.002330170444286067,0.1904331429482524,107.51403450965881,41.0,19118.0,0.00021164290886837735,0.06413386984711016,57.07947540283203
2,3.0,55.0,3837.0,0.01833102161219676,0.272884997343924,2.8946595191955566,85.0,13416.0,0.008622297666637899,0.2347816996983693,163.17313385009766,88.0,17900.0,0.0006188734292020366,0.13836559407115773,94.86029148101807
3,3.5,34.0,1502.0,0.005752430533098436,0.18651518815549537,3.778092622756958,61.0,10046.0,0.018689176727295247,0.2568840759804305,221.3538782596588,142.0,16106.0,0.0016994482407819516,0.22245149220083177,124.29856657981873
4,4.0,14.0,406.0,0.002093090685503366,0.07327773621803192,4.569087743759155,30.0,6426.0,0.012476361452071049,0.15904589473038228,286.6574537754059,168.0,12253.0,0.007304991226102598,0.3266184240855955,177.02153325080872
5,4.5,5.0,129.0,3.70473418880635e-05,0.010337858398247798,5.3895392417907715,15.0,4371.0,0.0035764160828105095,0.05171625327979664,330.18243956565857,44.0,7575.0,0.0062966187370299765,0.13578838596432005,222.44613671302795
6,5.0,1.0,30.0,-1.7876166829119428e-06,0.0010674974055204292,6.221919059753418,7.0,2281.0,0.0016915160718525511,0.04083101963384467,401.7461669445038,12.0,2375.0,0.001924350452673413,0.06118407701739199,289.5561726093292
7,5.5,1.0,6.0,-1.0587510695214447e-06,0.00018455324429533963,7.137292385101318,3.0,1278.0,0.0006532843749952461,0.022782595745719513,479.4941532611847,2.0,415.0,1.4517961244448229e-05,0.005126841612000312,348.8494668006897
8,6.0,1.0,1.0,-1.3623599430644388e-07,-5.315462442336982e-07,8.031856536865234,2.0,620.0,0.00014964284031151003,0.010450304128898852,538.8390080928802,2.0,45.0,-5.769417598030814e-06,0.004429868253269167,424.98600935935974
9,6.5,1.0,1.0,-1.3623599430644388e-07,-5.315462442336982e-07,8.840113162994385,1.0,397.0,7.539879481137995e-05,0.008150173040257598,618.1353759765625,1.0,16.0,-2.7373512389431993e-06,0.0004310939666933192,488.70451402664185
10,7.0,1.0,0.0,0.0,-2.526855532268238e-16,9.599417924880981,1.0,185.0,2.9771280441593474e-05,0.006266015170690635,685.6809215545654,1.0,4.0,-7.163708769983541e-07,3.008444969147792e-05,560.2344286441803
11,7.5,1.0,0.0,0.0,-2.526855532268238e-16,10.337358474731445,1.0,110.0,5.352613215989101e-06,0.0032530324575385646,736.7608766555786,1.0,1.0,-1.3623599430644388e-07,-5.315462442336982e-07,609.8067216873169
12,8.0,1.0,0.0,0.0,-2.526855532268238e-16,11.033928871154785,1.0,117.0,2.0065285870456025e-05,0.005281794605277015,805.2351734638214,1.0,0.0,0.0,-2.526855532268238e-16,686.4041748046875
13,8.5,1.0,0.0,0.0,-2.526855532268238e-16,11.65601110458374,1.0,36.0,1.8893202910102617e-06,0.0010401987822288884,832.9151549339294,1.0,0.0,0.0,-2.526855532268238e-16,733.3691983222961
14,9.0,1.0,0.0,0.0,-2.526855532268238e-16,12.358937740325928,1.0,16.0,-1.5498872426822711e-06,0.0008368659604851994,906.369542837143,1.0,0.0,0.0,-2.526855532268238e-16,802.8744089603424
15,9.5,1.0,0.0,0.0,-2.526855532268238e-16,12.787760972976685,1.0,2.0,-4.397357924801155e-07,3.9184761551218974e-05,900.3062791824341,1.0,0.0,0.0,-2.526855532268238e-16,826.3392159938812
