,AMIS_db,AMIS_dbp_kg,AMIS_dbp_uni,ARAND_db,ARAND_dbp_kg,ARAND_dbp_uni,Exec_time_db,Exec_time_dbp_kg,Exec_time_dbp_uni,epsilon,n_clusters_db,n_clusters_dbp_kg,n_clusters_dbp_uni,n_noise_db,n_noise_dbp_kg,n_noise_dbp_uni
0,0.1062606059570665,0.0,0.005902384955143352,0.0017444281525345307,0.0,6.060061358142853e-05,0.025539159774780273,38.09160232543945,0.22299528121948242,250,14.0,0.0,1.0,1811.0,2000.0,1987.0
1,0.21852120406603728,0.023600342392122685,0.0565422542223014,0.01985691322875801,0.0002775453913158039,0.0005818073229369959,0.026205778121948242,38.821547746658325,0.23143315315246582,275,16.0,3.0,5.0,1457.0,1963.0,1925.0
2,0.1334622686037627,0.05175786566702148,0.11767502602351883,0.051655146875533554,0.0009936551973497522,0.004803976051119717,0.027702808380126953,38.25546169281006,0.2592751979827881,300,12.0,6.0,10.0,906.0,1921.0,1800.0
3,0.06161509667334741,0.08915025264653753,0.17502037384253263,0.009996120418872314,0.0021841196320554397,0.015581516584415263,0.03009939193725586,38.714972496032715,0.26431727409362793,325,10.0,11.0,12.0,424.0,1839.0,1610.0
4,0.006380534553714512,0.1661506454254848,0.1566333323815849,0.0012127566621854418,0.007507818918548365,0.016025848113381383,0.031960487365722656,38.7877631187439,0.2684152126312256,350,1.0,23.0,14.0,161.0,1590.0,1345.0
5,0.0018738599599946461,0.19652887068164537,0.2355988112585468,0.00014339186042322335,0.02041693453307138,0.0773389603692205,0.03566122055053711,38.94182252883911,0.3244044780731201,375,1.0,24.0,8.0,69.0,1326.0,1041.0
6,0.0006576625972903949,0.15194986470342586,0.06654449620908968,1.653796252496472e-05,0.029115140745595954,0.007196711963757068,0.03743553161621094,39.622127532958984,0.34635448455810547,400,1.0,21.0,9.0,24.0,974.0,880.0
7,-0.0007461270780117958,0.06431213412222489,0.025037587478543236,-5.329194373139374e-06,0.008857239291045184,0.0005505236542920726,0.039710283279418945,39.030325412750244,0.38325071334838867,425,1.0,8.0,5.0,9.0,673.0,654.0
8,-0.001106625188453475,0.010202255356203182,0.01451632835686269,-6.0069658106242765e-06,0.0016744880326145658,0.005743770570919763,0.04121589660644531,38.86699938774109,0.39487409591674805,450,1.0,2.0,2.0,7.0,416.0,541.0
9,0.00028826792823471715,0.005661982972107024,0.023296656260985645,6.710101857990229e-07,0.0018181560818454718,0.009693479084934939,0.04244232177734375,37.99911642074585,0.43075132369995117,475,1.0,1.0,2.0,3.0,272.0,439.0
10,1.9710955535869273e-15,0.004143334864799523,0.0009454183845434761,0.0,0.000711661818705646,0.0004115288653113665,0.04457497596740723,37.9296715259552,0.45162034034729004,500,1.0,1.0,1.0,1.0,151.0,347.0
11,0.0,0.0017168828293525294,0.011771241109588524,0.0,0.00011574484200343313,0.0030419724457796055,0.04719185829162598,38.1329243183136,0.4607393741607666,525,1.0,1.0,1.0,0.0,66.0,219.0
12,0.0,0.00021640332151066428,0.0004829361569411161,0.0,6.322969989148925e-06,9.94246330941382e-05,0.04949760437011719,37.879499673843384,0.513660192489624,550,1.0,1.0,1.0,0.0,22.0,179.0
13,0.0,0.0004760515341005086,0.010980294022355154,0.0,2.816383785286227e-08,0.0017012154938702176,0.05164694786071777,37.86111354827881,0.5580918788909912,575,1.0,1.0,1.0,0.0,8.0,148.0
14,0.0,0.0012206340475041076,0.0015921400295769578,0.0,4.023402893913488e-06,0.00012664705739801543,0.05488991737365723,38.02212929725647,0.5483524799346924,600,1.0,1.0,1.0,0.0,5.0,69.0
15,0.0,0.00028826792823471715,0.007332081701889714,0.0,6.710101857990229e-07,0.00046869974809307386,0.05732393264770508,38.27179932594299,0.6195311546325684,625,1.0,1.0,1.0,0.0,3.0,75.0
16,0.0,0.000748128376656648,-4.0065265035876916e-05,0.0,2.003673398593183e-06,2.0089675003725602e-06,0.05970311164855957,38.03075361251831,0.6264164447784424,650,1.0,1.0,1.0,0.0,2.0,51.0
17,0.0,0.0,-0.0003269252896729751,0.0,0.0,-7.036951719375999e-06,0.06257057189941406,38.045069456100464,0.6877496242523193,675,1.0,1.0,1.0,0.0,0.0,30.0
18,0.0,0.0,0.0021545759643860378,0.0,0.0,5.232886976306277e-05,0.0651094913482666,38.0326087474823,0.7142863273620605,700,1.0,1.0,1.0,0.0,0.0,33.0
19,0.0,0.0,0.0037789703104070824,0.0,0.0,0.00010247534299740744,0.06825900077819824,38.194201946258545,0.7689814567565918,725,1.0,1.0,1.0,0.0,0.0,23.0
20,0.0,0.0,0.009100110747571057,0.0,0.0,0.00021008729425121408,0.07163333892822266,38.14429974555969,0.820347785949707,750,1.0,1.0,1.0,0.0,0.0,27.0
21,0.0,0.0,-0.0003479705809346763,0.0,0.0,-1.3308775561851776e-06,0.07380414009094238,38.20404934883118,0.8024411201477051,775,1.0,1.0,1.0,0.0,0.0,4.0
